region,S0,delta_single,delta_tf,cs01_single_pct,cs01_tf_pct
Deep OTM,20,0.5302992981711583,0.5935745115093454,-4.372265179456032,-3.8154132894588155
Slightly OTM,40,1.1823502107952493,1.3039861132598816,-3.9191289928433544,-2.286935142482649
Near boundary,50,1.3569634681689422,1.4658175367549973,-3.536725105077264,-1.7832454636097463
Slightly ITM,60,1.505700290971248,1.6060833329825357,-3.089346375309653,-1.3606142177581149
Moderately ITM (peak div.),75,1.6794519907805636,1.7694275267201078,-2.358881304422851,-0.8801980559652164
Deep ITM,200,2.0,1.9864837290587616,0.0,-0.12208113899944455
